"glm(formula = is_trump ~ posemo + negemo + negate + anger + sad + anx + swear, family = binomial(link = ""logit""), data = nrc_tweet)",,,,,
Coefficients:,,,,,
term,estimate,std.error,statistic,p.value,significance
(Intercept),-0.151907048,0.037130027,-4.091218398,4.29E-05,***
posemo,0.085297768,0.00490421,17.39276323,9.36E-68,***
negemo,0.074712981,0.01191219,6.271976728,3.56E-10,***
negate,0.024831722,0.008827623,2.812956739,0.004908825,** 
anger,-0.110406742,0.017410831,-6.34126795,2.28E-10,***
sad,0.059330849,0.022517201,2.634912269,0.008415903,** 
anx,-0.019947326,0.023757128,-0.839635401,0.401112844,
swear,0.666099304,0.123105354,5.410806942,6.27E-08,***
Signif. codes:  0 '***' 0.001 '**' 0.01 '*' 0.05 '.' 0.1 ' ' 1,,,,,
