"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.286031545285758,0.0294592716352862,9.7093895880016,2.74978909415893e-22
"2","i",0.17504565609748,0.0098747102886255,17.726662451972,2.61080093996838e-70
"3","we",-0.0987599365740629,0.00762569903956991,-12.9509355223168,2.32108089895362e-38
