"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.35008365327395,0.0269027182663685,13.0129472348374,1.03280547817362e-38
"2","relig",0.0094997563046373,0.0181215352256866,0.524224696546226,0.600122265597451
"3","death",0.0513212955625219,0.0279305563640363,1.83746055372544,0.0661419346161859
"4","achieve",0.000890564565997608,0.00666064954173371,0.133705363180811,0.89363556404272
