"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-0.151907048196111,0.0371300266606511,-4.091218398103,4.29112781369406e-05
"2","posemo",0.0852977680078486,0.00490421026621859,17.3927632335425,9.36103158709317e-68
"3","negemo",0.0747129813594232,0.0119121904618807,6.27197672825219,3.56492874327225e-10
"4","negate",0.0248317220397415,0.00882762315402338,2.81295673891832,0.00490882548173252
"5","anger",-0.110406742026126,0.0174108305932624,-6.34126795012589,2.2788179927183e-10
"6","sad",0.0593308485508558,0.022517200758627,2.63491226937364,0.0084159032156181
"7","anx",-0.0199473256112321,0.0237571279032907,-0.839635400896633,0.401112844027815
"8","swear",0.666099304388859,0.123105354064245,5.41080694216793,6.27413831002414e-08
